time/fps,train/entropy_loss,train/value_loss,train/explained_variance,time/time_elapsed,time/total_timesteps,train/policy_loss,train/learning_rate,time/iterations,train/reward,train/n_updates,train/std
208,-41.47793197631836,15.427865982055664,0.07551884651184082,2,500,-119.42369079589844,0.0007,100,-0.6175088,99,1.0117381811141968
223,-41.51969909667969,1.18826162815094,1.1920928955078125e-07,4,1000,-13.146951675415039,0.0007,200,0.82143676,199,1.0129497051239014
228,-41.55328369140625,2.9609756469726562,0.0633196234703064,6,1500,-7.917544364929199,0.0007,300,-3.3245978,299,1.0141617059707642
228,-41.57830810546875,11.030604362487793,1.1920928955078125e-07,8,2000,48.67744064331055,0.0007,400,3.1025324,399,1.014909267425537
228,-41.51364517211914,26.169254302978516,0.0,10,2500,-201.66604614257812,0.0007,500,-2.9953585,499,1.0128686428070068
230,-41.53668975830078,0.020210066810250282,0.0,13,3000,4.29239559173584,0.0007,600,0.097812645,599,1.013641119003296
231,-41.622657775878906,1.4482421875,-0.1099250316619873,15,3500,-45.20697021484375,0.0007,700,-0.1223766,699,1.016977071762085
232,-41.66539001464844,3.2605106830596924,0.0,17,4000,-42.0304069519043,0.0007,800,0.504446,799,1.0185426473617554
232,-41.65132141113281,53.683494567871094,0.0,19,4500,-225.54708862304688,0.0007,900,4.4325843,899,1.0178240537643433
233,-41.6556396484375,218.3858184814453,-0.0017435550689697266,21,5000,-35.437416076660156,0.0007,1000,4.7314525,999,1.0179725885391235
233,-41.69149398803711,25.176000595092773,0.0,23,5500,96.74659729003906,0.0007,1100,0.4390301,1099,1.0191981792449951
233,-41.68521499633789,6.7775702476501465,0.0,25,6000,-110.21817779541016,0.0007,1200,-0.980881,1199,1.0188952684402466
234,-41.66203689575195,1.447235345840454,-0.19378697872161865,27,6500,-44.140777587890625,0.0007,1300,0.95970076,1299,1.0184545516967773
233,-41.68952941894531,2.4482057094573975,0.0,29,7000,60.83625030517578,0.0007,1400,0.77558136,1399,1.0194350481033325
234,-41.666648864746094,8.245569229125977,0.0,31,7500,96.83184051513672,0.0007,1500,0.18803327,1499,1.0186717510223389
234,-41.67717742919922,20.849008560180664,0.0,34,8000,-98.28001403808594,0.0007,1600,-1.6224302,1599,1.0190788507461548
234,-41.71906280517578,599.6993408203125,0.0,36,8500,1014.7587890625,0.0007,1700,12.479196,1699,1.0204840898513794
235,-41.73652267456055,12.654047012329102,0.05859190225601196,38,9000,-123.73200988769531,0.0007,1800,0.60184956,1799,1.0209702253341675
235,-41.79812240600586,1.9286266565322876,-0.00015616416931152344,40,9500,-43.68389129638672,0.0007,1900,-0.48174083,1899,1.0233632326126099
235,-41.808738708496094,0.4436118006706238,-1.1920928955078125e-06,42,10000,12.391307830810547,0.0007,2000,-0.44993567,1999,1.0235304832458496
235,-41.81500244140625,2.69301700592041,-0.28831934928894043,44,10500,-8.471342086791992,0.0007,2100,1.5231551,2099,1.0238041877746582
235,-41.80901336669922,1.5539995431900024,-0.0020787715911865234,46,11000,-17.44835662841797,0.0007,2200,-1.3318806,2199,1.0236250162124634
235,-41.82216262817383,79.94564056396484,0.0,48,11500,315.6969299316406,0.0007,2300,3.3115106,2299,1.023955225944519
226,-41.82292175292969,3.2933661937713623,0.04188424348831177,52,12000,67.93132019042969,0.0007,2400,-0.07759969,2399,1.0242178440093994
227,-41.83976745605469,0.4662742614746094,0.0,55,12500,24.85344123840332,0.0007,2500,1.0381002,2499,1.024635910987854
227,-41.83858871459961,44.47193145751953,0.0,57,13000,267.4045104980469,0.0007,2600,1.4965823,2599,1.0247539281845093
228,-41.838199615478516,32.3503303527832,0.0,59,13500,-196.09349060058594,0.0007,2700,-0.086957805,2699,1.0249699354171753
228,-41.85794448852539,2.68500018119812,2.384185791015625e-07,61,14000,-33.52819061279297,0.0007,2800,-1.9440386,2799,1.0254600048065186
228,-41.9368782043457,19.07583236694336,1.1920928955078125e-07,63,14500,22.610614776611328,0.0007,2900,-0.23850611,2899,1.0284321308135986
229,-41.906063079833984,0.03573562577366829,0.3733234405517578,65,15000,4.064657688140869,0.0007,3000,-0.26776454,2999,1.0272843837738037
229,-41.8888053894043,4.090749263763428,0.05187177658081055,67,15500,-58.288841247558594,0.0007,3100,-0.24099037,3099,1.0268335342407227
228,-41.886253356933594,26.08437728881836,0.0,70,16000,186.26010131835938,0.0007,3200,1.5008167,3199,1.026587724685669
228,-41.92076110839844,5.185940265655518,1.1920928955078125e-07,72,16500,-94.43183898925781,0.0007,3300,0.38205147,3299,1.0278904438018799
228,-41.89561080932617,96.84947204589844,0.15993237495422363,74,17000,-331.96405029296875,0.0007,3400,-1.3441178,3399,1.0271177291870117
228,-41.896705627441406,27.448257446289062,0.0,76,17500,192.5778350830078,0.0007,3500,-0.6391721,3499,1.026997685432434
227,-41.92378234863281,1.9452617168426514,-0.04950737953186035,79,18000,53.4013557434082,0.0007,3600,0.034123532,3599,1.028109073638916
226,-42.012142181396484,0.6321595907211304,0.2593011260032654,81,18500,25.494802474975586,0.0007,3700,-0.52755815,3699,1.031283974647522
226,-42.00723648071289,4.131347179412842,-0.07274258136749268,83,19000,-29.796533584594727,0.0007,3800,0.024721006,3799,1.031402349472046
225,-41.93952178955078,0.6958191990852356,-1.1920928955078125e-07,86,19500,-3.2590508460998535,0.0007,3900,-0.04324229,3899,1.0289180278778076
223,-42.02192687988281,547.8939208984375,0.0,89,20000,-979.1767578125,0.0007,4000,-1.7413931,3999,1.0317505598068237
223,-41.996517181396484,36.0854377746582,0.0,91,20500,214.1720733642578,0.0007,4100,-2.3556054,4099,1.0308849811553955
223,-42.0604133605957,0.7132890820503235,-1.1920928955078125e-07,93,21000,-7.676374912261963,0.0007,4200,-1.1155534,4199,1.0331557989120483
223,-42.06544494628906,13.334617614746094,-0.009742140769958496,96,21500,132.19911193847656,0.0007,4300,-0.6758254,4299,1.033291220664978
223,-42.038822174072266,5.102679252624512,-4.013166427612305,98,22000,-84.92325592041016,0.0007,4400,-3.2580686,4399,1.032456398010254
223,-42.07677459716797,0.17700397968292236,-0.048040032386779785,100,22500,2.447193145751953,0.0007,4500,3.5770814,4499,1.033783197402954
224,-42.16068649291992,42.48460006713867,-0.15753412246704102,102,23000,226.68728637695312,0.0007,4600,-0.1158823,4599,1.0365711450576782
223,-42.17918395996094,31.282169342041016,-0.00990140438079834,104,23500,179.28884887695312,0.0007,4700,0.4878409,4699,1.0372133255004883
223,-42.108394622802734,0.43398386240005493,-1.1920928955078125e-07,107,24000,0.4196528494358063,0.0007,4800,-0.5957464,4799,1.0349652767181396
223,-42.176029205322266,3.936945676803589,0.0,109,24500,78.80302429199219,0.0007,4900,-0.022821449,4899,1.0374351739883423
222,-42.186851501464844,109.29154968261719,-7.259845733642578e-05,112,25000,-418.5743103027344,0.0007,5000,1.6551756,4999,1.037724494934082
222,-42.14707946777344,52.4050407409668,-0.0034363269805908203,114,25500,282.41259765625,0.0007,5100,1.0648702,5099,1.0363372564315796
222,-42.15507125854492,16.255477905273438,-0.0013653039932250977,116,26000,-124.2802734375,0.0007,5200,-1.9856348,5199,1.0368038415908813
222,-42.13079833984375,18.28034019470215,-1.1920928955078125e-07,119,26500,157.59078979492188,0.0007,5300,-4.469344,5299,1.035773515701294
222,-42.115108489990234,6.697786808013916,0.0,121,27000,-103.01786804199219,0.0007,5400,-1.8680589,5399,1.035354495048523
222,-42.12706756591797,5.745226860046387,5.960464477539063e-08,123,27500,99.71240997314453,0.0007,5500,1.7181954,5499,1.035881519317627
223,-42.15829086303711,6.141543865203857,0.001425325870513916,125,28000,-30.479389190673828,0.0007,5600,1.1654446,5599,1.0369805097579956
223,-42.15519714355469,1.4753105640411377,-0.34078431129455566,127,28500,-11.15609073638916,0.0007,5700,0.5223137,5699,1.0370571613311768
222,-42.16366195678711,39.897972106933594,0.0,130,29000,226.04287719726562,0.0007,5800,0.4701154,5799,1.0373271703720093
222,-42.14419174194336,179.8355255126953,0.04271113872528076,132,29500,-486.97247314453125,0.0007,5900,1.7582978,5899,1.036636233329773
222,-42.168365478515625,11.78741455078125,0.0032146573066711426,134,30000,-141.6560821533203,0.0007,6000,0.28580394,5999,1.0376003980636597
223,-42.15266036987305,3.3529052734375,-5.024204254150391,136,30500,-43.813594818115234,0.0007,6100,0.3593221,6099,1.0368818044662476
223,-42.172645568847656,37.987892150878906,0.18250495195388794,138,31000,-222.30062866210938,0.0007,6200,-2.3948507,6199,1.0376687049865723
222,-42.22267150878906,0.9567648768424988,0.0,141,31500,-19.81889533996582,0.0007,6300,-0.4159502,6299,1.0393871068954468
222,-42.27599334716797,10.17858600616455,0.0,143,32000,-102.9743881225586,0.0007,6400,3.351285,6399,1.0416339635849
223,-42.34236145019531,34.841392517089844,0.0,145,32500,230.9679718017578,0.0007,6500,-2.1201808,6499,1.0437968969345093
222,-42.39851379394531,9.095892906188965,0.0,148,33000,-128.41796875,0.0007,6600,-2.443379,6599,1.0456691980361938
222,-42.319854736328125,0.2744031846523285,1.1920928955078125e-07,150,33500,-4.174376487731934,0.0007,6700,1.7117316,6699,1.0429587364196777
222,-42.348968505859375,10.287272453308105,5.960464477539063e-08,152,34000,129.61141967773438,0.0007,6800,-1.7427318,6799,1.0438605546951294
222,-42.31549072265625,3.895791530609131,1.1920928955078125e-07,154,34500,-31.482318878173828,0.0007,6900,-2.3562634,6899,1.0425664186477661
222,-42.33395767211914,17.120189666748047,0.0,157,35000,158.392822265625,0.0007,7000,0.23868735,6999,1.043563961982727
221,-42.314815521240234,0.02367156371474266,0.0,160,35500,-2.545119524002075,0.0007,7100,0.4698554,7099,1.0431087017059326
221,-42.298885345458984,6.004846096038818,0.0,162,36000,101.42716217041016,0.0007,7200,1.1368964,7199,1.042413353919983
221,-42.33413314819336,1.2395621538162231,0.0,164,36500,12.966758728027344,0.0007,7300,-0.15792622,7299,1.0435786247253418
221,-42.33045196533203,7.0822601318359375,0.0,167,37000,-64.03919219970703,0.0007,7400,1.7643878,7399,1.04341459274292
221,-42.3645133972168,0.24508042633533478,1.1920928955078125e-07,169,37500,-11.930593490600586,0.0007,7500,1.9491322,7499,1.0448451042175293
221,-42.36690902709961,2.9836392402648926,-1.1920928955078125e-07,171,38000,24.88778305053711,0.0007,7600,1.365315,7599,1.0447945594787598
221,-42.340431213378906,0.08321540057659149,-0.1250135898590088,173,38500,-6.007070541381836,0.0007,7700,-0.4093366,7699,1.0438141822814941
221,-42.341007232666016,4.3846330642700195,0.0,175,39000,76.60719299316406,0.0007,7800,-0.17954984,7799,1.0436851978302002
221,-42.35929489135742,9.04069709777832,0.0,178,39500,-122.62921142578125,0.0007,7900,1.1561844,7899,1.0444352626800537
221,-42.402549743652344,2.7572786808013916,0.0,180,40000,-60.497657775878906,0.0007,8000,0.6298971,7999,1.0458824634552002
222,-42.41503143310547,102.72977447509766,0.0,182,40500,-350.96270751953125,0.0007,8100,7.259581,8099,1.0465205907821655
222,-42.45319366455078,1706.61328125,0.00043314695358276367,184,41000,-1718.490234375,0.0007,8200,-13.334194,8199,1.0476963520050049
222,-42.4395751953125,13.817095756530762,0.03860175609588623,186,41500,-137.16551208496094,0.0007,8300,-1.0252146,8299,1.0473839044570923
222,-42.444435119628906,3.4932849407196045,0.0,189,42000,-69.83428192138672,0.0007,8400,0.20204566,8399,1.0477821826934814
222,-42.46893310546875,2.289247989654541,5.960464477539063e-08,191,42500,-27.593542098999023,0.0007,8500,1.892281,8499,1.0488934516906738
222,-42.48387908935547,4.253401756286621,-1.1920928955078125e-07,193,43000,-63.68402862548828,0.0007,8600,2.8837805,8599,1.0492860078811646
222,-42.4560546875,43.375511169433594,0.0,195,43500,-258.482666015625,0.0007,8700,3.361857,8699,1.0481213331222534
222,-42.45189666748047,315.49945068359375,-1.1920928955078125e-07,197,44000,709.709228515625,0.0007,8800,0.40027577,8799,1.0480190515518188
222,-42.489776611328125,4.111320495605469,0.0,199,44500,74.41182708740234,0.0007,8900,1.405142,8899,1.0494835376739502
220,-42.54042053222656,9.753947257995605,-1.7033195495605469,204,45000,123.22306823730469,0.0007,9000,0.15758005,8999,1.0514216423034668
220,-42.567420959472656,1.3369084596633911,5.960464477539063e-08,206,45500,46.31882858276367,0.0007,9100,-0.7878617,9099,1.0524487495422363
220,-42.585697174072266,6.051636695861816,0.0,208,46000,99.11265563964844,0.0007,9200,0.5790048,9199,1.053061604499817
220,-42.6081657409668,5.311295986175537,0.0,210,46500,71.84172058105469,0.0007,9300,3.9333048,9299,1.0536688566207886
221,-42.58613586425781,92.35432434082031,0.0,212,47000,307.247802734375,0.0007,9400,6.342305,9399,1.0528262853622437
221,-42.56783676147461,0.6346744298934937,0.0,214,47500,9.962679862976074,0.0007,9500,0.2503087,9499,1.0523767471313477
221,-42.639854431152344,1.299757719039917,0.0,216,48000,42.43323516845703,0.0007,9600,-1.2978181,9599,1.0548747777938843
221,-42.700801849365234,0.6610018014907837,-1.1920928955078125e-07,219,48500,23.064085006713867,0.0007,9700,-1.4413133,9699,1.0569803714752197
221,-42.7202033996582,27.517040252685547,0.0,221,49000,-223.6807861328125,0.0007,9800,-1.3260376,9799,1.0577276945114136
221,-42.80160903930664,1.109374761581421,5.960464477539063e-08,223,49500,-16.89301109313965,0.0007,9900,0.9740255,9899,1.0609655380249023
221,-42.88279724121094,44.84897994995117,0.0,226,50000,179.47705078125,0.0007,10000,-6.372118,9999,1.0639806985855103
